# model name: mnist_relu_3_40.tf
# from  test: 0
# num  tests: 100
# start time: 2020-11-16 00:56:24
# end   time: 2020-11-16 03:09:01
{'test': 0, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 1, 'deepzono': 0.027, 'deepinput': 0.027}
{'test': 2, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 3, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 4, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 5, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 6, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 7, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 8, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 9, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 10, 'deepzono': 0.027, 'deepinput': 0.028}
{'test': 11, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 12, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 13, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 14, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 15, 'deepzono': 0.013, 'deepinput': 0.014}
{'test': 16, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 17, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 18, 'deepzono': 0.012, 'deepinput': 0.013}
{'test': 19, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 20, 'deepzono': 0.004, 'deepinput': 0.004}
{'test': 21, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 22, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 23, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 24, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 25, 'deepzono': 0.032, 'deepinput': 0.032}
{'test': 26, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 27, 'deepzono': 0.026, 'deepinput': 0.026}
{'test': 28, 'deepzono': 0.03, 'deepinput': 0.031}
{'test': 29, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 30, 'deepzono': 0.03, 'deepinput': 0.03}
{'test': 31, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 32, 'deepzono': 0.027, 'deepinput': 0.027}
{'test': 33, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 34, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 35, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 36, 'deepzono': 0.016, 'deepinput': 0.017}
{'test': 37, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 38, 'deepzono': 0.008, 'deepinput': 0.009}
{'test': 39, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 40, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 41, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 42, 'deepzono': 0.023, 'deepinput': 0.023}
{'test': 43, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 44, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 45, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 46, 'deepzono': 0.011, 'deepinput': 0.012}
{'test': 47, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 48, 'deepzono': 0.031, 'deepinput': 0.031}
{'test': 49, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 50, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 51, 'deepzono': 0.028, 'deepinput': 0.028}
{'test': 52, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 53, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 54, 'deepzono': 0.027, 'deepinput': 0.027}
{'test': 55, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 56, 'deepzono': 0.031, 'deepinput': 0.032}
{'test': 57, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 58, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 59, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 60, 'deepzono': 0.026, 'deepinput': 0.026}
{'test': 61, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 62, 'deepzono': 0.005, 'deepinput': 0.005}
{'test': 63, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 64, 'deepzono': 0.023, 'deepinput': 0.023}
{'test': 65, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 66, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 67, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 68, 'deepzono': 0.03, 'deepinput': 0.03}
{'test': 69, 'deepzono': 0.026, 'deepinput': 0.027}
{'test': 70, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 71, 'deepzono': 0.035, 'deepinput': 0.036}
{'test': 72, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 73, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 74, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 75, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 76, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 77, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 78, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 79, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 80, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 81, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 82, 'deepzono': 0.028, 'deepinput': 0.028}
{'test': 83, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 84, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 85, 'deepzono': 0.032, 'deepinput': 0.032}
{'test': 86, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 87, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 88, 'deepzono': 0.029, 'deepinput': 0.029}
{'test': 89, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 90, 'deepzono': 0.018, 'deepinput': 0.019}
{'test': 91, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 92, 'deepzono': 0.003, 'deepinput': 0.003}
{'test': 93, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 94, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 95, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 96, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 97, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 98, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 99, 'deepzono': 0.022, 'deepinput': 0.022}
